,area_m2,parking,bathroom,rent_cost,rooms:Q,metro_name_code,total_floors,house_type,renovation_type
4,58.0,0,1,225000.0,2,190000.0,26,43000.0,55000.0
7,98.0,1,1,250000.0,3,170000.0,4,70000.0,55000.0
8,120.0,0,0,130000.0,3,170000.0,10,95000.0,55000.0
9,90.0,0,1,210000.0,4,190000.0,7,95000.0,55000.0
10,170.0,1,1,290000.0,4,170000.0,7,49000.0,55000.0
11,80.0,0,0,100000.0,3,170000.0,8,53000.0,55000.0
12,100.0,0,1,200000.0,3,170000.0,4,53000.0,90000.0
16,30.0,0,0,120000.0,2,190000.0,26,43000.0,55000.0
18,150.0,0,1,180000.0,5,180000.0,7,53000.0,55000.0
19,201.0,0,1,190000.0,5,190000.0,3,49000.0,55000.0
20,64.0,0,1,205000.0,2,190000.0,26,43000.0,55000.0
21,112.0,1,1,230000.0,3,190000.0,7,49000.0,55000.0
24,186.0,0,1,190000.0,5,190000.0,3,195000.0,55000.0
25,100.0,0,1,200000.0,3,190000.0,8,49000.0,55000.0
26,150.0,0,1,200000.0,5,190000.0,7,53000.0,55000.0
27,140.0,0,0,300000.0,5,170000.0,7,49000.0,90000.0
35,44.0,0,0,135000.0,2,190000.0,26,43000.0,55000.0
36,85.0,1,0,150000.0,3,170000.0,7,49000.0,55000.0
37,100.0,0,1,320000.0,2,170000.0,7,105200.0,55000.0
45,85.0,1,0,150000.0,3,190000.0,7,53000.0,55000.0
46,105.0,1,1,195000.0,3,170000.0,17,105200.0,55000.0
47,134.0,1,1,300000.0,3,170000.0,16,70000.0,55000.0
48,60.0,0,0,90000.0,2,170000.0,6,49000.0,55000.0
49,85.0,1,0,150000.0,3,190000.0,7,49000.0,90000.0
50,150.0,0,0,250000.0,5,170000.0,6,49000.0,90000.0
53,60.0,0,0,120000.0,2,170000.0,6,53000.0,55000.0
54,103.0,0,0,120000.0,3,170000.0,3,53000.0,55000.0
55,170.0,0,1,175000.0,5,190000.0,5,53000.0,55000.0
56,200.0,0,0,190000.0,5,190000.0,3,53000.0,55000.0
57,105.0,1,1,240000.0,3,170000.0,17,70000.0,55000.0
58,60.0,1,0,250000.0,1,170000.0,12,105200.0,55000.0
59,155.0,0,0,250000.0,5,170000.0,6,49000.0,90000.0
60,134.0,1,1,300000.0,3,170000.0,16,105200.0,55000.0
67,100.0,0,0,115000.0,3,190000.0,3,53000.0,55000.0
68,60.0,0,0,120000.0,2,170000.0,6,53000.0,90000.0
69,170.0,0,1,175000.0,5,190000.0,5,195000.0,55000.0
70,98.0,1,0,185000.0,3,190000.0,6,53000.0,55000.0
71,175.0,1,1,200000.0,2,190000.0,9,105200.0,55000.0
80,45.0,0,0,120000.0,1,190000.0,7,53000.0,90000.0
81,65.0,0,0,130000.0,3,170000.0,7,49000.0,55000.0
82,87.0,0,0,140000.0,3,190000.0,7,53000.0,55000.0
83,90.0,0,0,145000.0,3,170000.0,12,53000.0,90000.0
87,75.0,0,0,99000.0,3,170000.0,10,53000.0,40000.0
88,87.0,0,0,100000.0,3,170000.0,7,53000.0,90000.0
89,105.0,0,1,180000.0,3,190000.0,9,53000.0,40000.0
90,99.0,1,1,200000.0,3,190000.0,9,53000.0,55000.0
91,60.0,1,0,250000.0,1,170000.0,11,70000.0,55000.0
92,140.0,0,1,280000.0,4,170000.0,6,49000.0,55000.0
93,120.0,0,1,300000.0,3,190000.0,5,49000.0,90000.0
104,52.0,0,0,80000.0,2,170000.0,24,43000.0,55000.0
105,91.0,0,0,95000.0,3,170000.0,10,49000.0,35000.0
106,56.0,0,0,105000.0,2,170000.0,16,43000.0,55000.0
107,80.0,0,0,120000.0,3,170000.0,6,195000.0,55000.0
108,94.0,0,0,135000.0,2,190000.0,5,53000.0,55000.0
109,40.0,0,1,135000.0,2,190000.0,26,70000.0,55000.0
110,94.0,0,1,145000.0,3,170000.0,4,53000.0,55000.0
111,90.0,0,0,145000.0,3,170000.0,12,53000.0,55000.0
112,120.0,0,0,165000.0,2,190000.0,4,195000.0,55000.0
113,170.0,0,0,175000.0,5,190000.0,5,53000.0,55000.0
114,140.0,0,1,180000.0,3,190000.0,6,195000.0,40000.0
115,41.0,1,0,180000.0,0,170000.0,13,105200.0,90000.0
116,120.0,0,1,190000.0,3,190000.0,5,195000.0,55000.0
117,95.0,1,1,200000.0,3,195000.0,9,70000.0,55000.0
118,130.0,0,1,220000.0,4,200000.0,5,53000.0,40000.0
119,70.0,0,1,230000.0,3,190000.0,26,43000.0,90000.0
120,63.0,1,0,270000.0,0,170000.0,13,105200.0,90000.0
